Year,NYC Consumption(Million gallons per day),Per Capita(Gallons per person per day)
1979,1512,213
1980,1506,213
1981,1309,185
1982,1382,194
1983,1424,198
1984,1465,203
1985,1326,182
1986,1351,185
1987,1447,197
1988,1484,202
1989,1402,191
1990,1424,194
1991,1469,199
1992,1369,184
1993,1369,182
1994,1358,179
1995,1326,174
1996,1298,169
1997,1206,155
1998,1220,155
1999,1237,156
2000,1240,155
2001,1184,148
2002,1136,141
2003,1094,136
2004,1100,136
2005,1138,141
2006,1069,132
2007,1114,137
2008,1098,135
2009,1007,123
2010,1039,127
2011,1021,125
2012,1009,121
2013,1006,120
2014,996,117
2015,1009,118
2016,1002,117
